NumThreads,BenchType,NumOpsIn10Secs
1,r,9993813
1,r,9873308
1,r,10010652
1,w,8367514
1,w,8316751
1,w,8433042
1,rw,8128321
1,rw,8077193
1,rw,7987791
2,r,4656654
2,r,4659344
2,r,4740393
2,w,3321204
2,w,3384401
2,w,3154838
2,rw,3536665
2,rw,3270877
2,rw,3399366
3,r,5264205
3,r,5092066
3,r,5174335
3,w,3942907
3,w,3958204
3,w,3816392
3,rw,3849695
3,rw,3907473
3,rw,4007981
4,r,4739095
4,r,4699911
4,r,4616379
4,w,3071167
4,w,3120253
4,w,3166007
4,rw,3280552
4,rw,3189975
4,rw,3356643
5,r,4338361
5,r,4252328
5,r,4568503
5,w,2974951
5,w,3056764
5,w,3060053
5,rw,3126308
5,rw,3068398
5,rw,3157302
6,r,4196663
6,r,4110667
6,r,4180795
6,w,2873886
6,w,2855372
6,w,2832871
6,rw,3068772
6,rw,2903539
6,rw,2982746
7,r,3975624
7,r,4122054
7,r,4004767
7,w,2747497
7,w,2690526
7,w,2732490
7,rw,2792501
7,rw,2791868
7,rw,2848596
8,r,3753740
8,r,3845283
8,r,4045691
8,w,2705723
8,w,2652370
8,w,2742036
8,rw,2850342
8,rw,2901350
8,rw,2796694
9,r,4108909
9,r,4050490
9,r,3863492
9,w,2704449
9,w,2669941
9,w,2701151
9,rw,2903479
9,rw,2869558
9,rw,2886742
10,r,4107382
10,r,3905104
10,r,3957076
10,w,2650005
10,w,2764432
10,w,2733665
10,rw,2829950
10,rw,2840096
10,rw,2899228
11,r,3774357
11,r,3848778
11,r,3794324
11,w,2590967
11,w,2502233
11,w,2568344
11,rw,2667531
11,rw,2610103
11,rw,2654029
12,r,3592685
12,r,3581075
12,r,3552361
12,w,2415511
12,w,2463189
12,w,2422673
12,rw,2596274
12,rw,2524860
12,rw,2545356
13,r,3390605
13,r,3396531
13,r,3476228
13,w,2347936
13,w,2417271
13,w,2364755
13,rw,2472965
13,rw,2445903
13,rw,2479457
14,r,3219100
14,r,3415392
14,r,3306063
14,w,2349288
14,w,2366643
14,w,2335205
14,rw,2409801
14,rw,2454315
14,rw,2460422
15,r,3235132
15,r,3233852
15,r,3279937
15,w,2300875
15,w,2351899
15,w,2356296
15,rw,2410122
15,rw,2346676
15,rw,2351002
16,r,3207480
16,r,3125041
16,r,3246469
16,w,2296955
16,w,2318329
16,w,2315845
16,rw,2340547
16,rw,2342189
16,rw,2363719
17,r,3041806
17,r,3079128
17,r,3072129
17,w,2295505
17,w,2264570
17,w,2275629
17,rw,2364890
17,rw,2334084
17,rw,2311379
18,r,3032170
18,r,3109379
18,r,3101153
18,w,2271519
18,w,2236488
18,w,2253011
18,rw,2313146
18,rw,2306986
18,rw,2337553
19,r,2971612
19,r,3032301
19,r,3082642
19,w,2271676
19,w,2238517
19,w,2276472
19,rw,2259994
19,rw,2332551
19,rw,2334718
20,r,3083046
20,r,3037073
20,r,3054879
20,w,2228880
20,w,2268225
20,w,2274281
20,rw,2314412
20,rw,2312781
20,rw,2325423
