NumThreads,BenchType,NumOpsIn5Secs
1,r,8857281
1,r,8825906
1,r,8845536
2,r,5401323
2,r,4989556
2,r,5300112
3,r,5262875
3,r,5720859
3,r,5320345
4,r,5153643
4,r,5109873
4,r,5716586
5,r,5525992
5,r,5357536
5,r,5244639
6,r,5576106
6,r,5501729
6,r,5503191
7,r,5655794
7,r,5582989
7,r,5761251
8,r,5896431
8,r,5646541
8,r,5402126
9,r,5850554
9,r,5588514
9,r,5651238
10,r,5506726
10,r,5496996
10,r,5562114
11,r,5804657
11,r,5953945
11,r,5962779
12,r,6334105
12,r,5798487
12,r,6304897
13,r,5994961
13,r,5897250
13,r,5979736
14,r,6029332
14,r,6389877
14,r,6555117
15,r,6173096
15,r,6567195
15,r,6537512
16,r,6608158
16,r,6498962
16,r,6231494
17,r,6551542
17,r,6164164
17,r,6262938
18,r,6321419
18,r,6262851
18,r,6719745
19,r,6716719
19,r,6634785
19,r,6207005
20,r,6660814
20,r,6661356
20,r,6712665

